"","Site","Year","value"
"873",10,"2009",NA
"874",11,"2009",0.1322654256
"875",12,"2009",0.1806009176
"876",13,"2009",NA
"877",13,"2009",0.1985863524
"878",14,"2009",0.007991313242
"879",15,"2009",0.1338663736
"880",16,"2009",0.1002006054
"881",17,"2009",0.1166025408
"882",18,"2009",0.01091501558
